capture_date,capture_url,senador_impreso,distrito_impreso,bloque_impreso
1998-02-02,https://web.archive.org/web/19980202085628id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/agundez.html,JORGE ALFREDO AGUNDEZ,Provincia de San Luis,Unión Cívica Radical
1998-02-02,https://web.archive.org/web/19980202090257id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/solana.html,JORGE DOROTEO SOLANA,Provincia de Neuquén,Movimiento Popular Neuquino
1998-02-02,https://web.archive.org/web/19980202090407id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/yoma.html,JORGE RAÚL YOMA,Provincia de La Rioja,Justicialista
1998-02-02,https://web.archive.org/web/19980202090159id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/rferisant.html,JOSÉ ANTONIO ROMERO FERIS,Provincia de Corrientes,Autonomista
1998-02-02,https://web.archive.org/web/19980202085855id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/genoud.html,JOSÉ GENOUD,Provincia de Mendoza,Unión Cívica Radical
1998-02-02,https://web.archive.org/web/19980202085903id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/gioja.html,JOSÉ LUIS GIOJA,Provincia de San Juan,Justicialista
1998-02-02,https://web.archive.org/web/19980202092550id_/http://www.senado.gov.ar:80/senadores/gioja.html,JOSÉ LUIS GIOJA,Provincia de San Juan,Justicialista
1998-02-02,https://web.archive.org/web/19980202085823id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/delasota.html,JOSÉ MANUEL DE LA SOTA,Provincia de Córdoba,Justicialista
1998-02-02,https://web.archive.org/web/19980202090207id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/saez.html,JOSÉ MARÍA SAEZ,Provincia del Chubut,Unión Cívica Radical
1998-02-02,https://web.archive.org/web/19980202085839id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/figueroa.html,JOSÉ OSCAR FIGUEROA,Provincia de Santiago del Estero,Justicialista
1998-02-02,https://web.archive.org/web/19980202090109id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/oyarzun.html,JUAN CARLOS OYARZÚN,Provincia de Tierra del Fuego,Movimiento Popular Fueguino
1998-02-02,https://web.archive.org/web/19980202090027id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/melgarej.html,JUAN IGNACIO MELGAREJO,Provincia de Santa Cruz,Unión Cívica Radical
1998-02-02,https://web.archive.org/web/19980202085620id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/aglanari.html,JUAN RAMÓN AGUIRRE LANARI,Provincia de Corrientes,Liberal
