session_id,convened_as,source,where,quote
1998-12-08_r69,especial,transcript,"seq 14-15","La otra sesión especial prevista para hoy, ¿para qué hora está citada? / Está citada para las 16."
1998-12-08_r70,especial,transcript,"1998-12-08_r69 seq 14-15; this sitting opens at 16 y 13","La otra sesión especial prevista para hoy, ¿para qué hora está citada? / Está citada para las 16."
2004-09-29_r26,especial,transcript,"seq 12","varios senadores de diversos partidos políticos habíamos pedido esta sesión especial"
2026-06-25_r06,ordinaria,cover,"page 1","SESIÓN ORDINARIA (SIN QUÓRUM)"
