pdf,pages,status,before,after
2012-10-31_r19_ORDINARIA.pdf,187,fixed,"facultades legislativas. Los artículos 5, 6","facultades legislativas. Los artículos 5º, 6"
2012-10-31_r19_ORDINARIA.pdf,187,fixed,", 6, 7",", 6º, 7"
2012-10-31_r19_ORDINARIA.pdf,187,fixed,", 7, 8",", 7º, 8"
2012-10-31_r19_ORDINARIA.pdf,187,fixed,", 8, 16 –por respeto no leo lo que dicen po",", 8º, 16 –por respeto no leo lo que dicen po"
2012-10-31_r19_ORDINARIA.pdf,195,fixed,"ipio que no se cumplía con el artículo 7 de la ley 23.548, que habla del piso de","ipio que no se cumplía con el artículo 7º de la ley 23.548, que habla del piso de"
2012-10-31_r19_ORDINARIA.pdf,195,fixed,"hizo esta evaluación y sacó su Informe N1, donde reconocen que la cosa es como y","hizo esta evaluación y sacó su Informe Nº1, donde reconocen que la cosa es como y"
2012-10-31_r19_ORDINARIA.pdf,2,fixed,(O.D. N 1.232/12.),(O.D. Nº 1.232/12.)
2012-10-31_r19_ORDINARIA.pdf,2,fixed,erjurisdiccional marino Makenke. (O.D. N 961/12.),erjurisdiccional marino Makenke. (O.D. Nº 961/12.)
2012-10-31_r19_ORDINARIA.pdf,2,fixed,sdiccional marino Isla Pingüino. (O.D. N 962/12.),sdiccional marino Isla Pingüino. (O.D. Nº 962/12.)
2012-10-31_r19_ORDINARIA.pdf,2,fixed,"ración Nacional, ejercicio 2013. (O.D. N 1.230/12.)","ración Nacional, ejercicio 2013. (O.D. Nº 1.230/12.)"
2012-10-31_r19_ORDINARIA.pdf,3,fixed,dó rendir homenaje para conmemorar el 29 aniversario de la recuperación de la de,dó rendir homenaje para conmemorar el 29º aniversario de la recuperación de la de
2012-10-31_r19_ORDINARIA.pdf,3,fixed,de la Nación rinde su homenaje por el 29 aniversario de la restauración de la de,de la Nación rinde su homenaje por el 29º aniversario de la restauración de la de
2012-10-31_r19_ORDINARIA.pdf,52,fixed,"público provincial; es decir, artículo 5 de la Constitución: “Bajo estas condici","público provincial; es decir, artículo 5º de la Constitución: “Bajo estas condici"
2012-10-31_r19_ORDINARIA.pdf,93,fixed,"educación nacional, que en su artículo 9 establece que el Estado es el que garan","educación nacional, que en su artículo 9º establece que el Estado es el que garan"
2013-10-09_r16_ESPECIAL.pdf,164,open (size differs),"iento a lo establecido por el artículo 2, inciso ","iento a lo establecido por el artículo 2º, inciso "
2013-11-27_r19_ESPECIAL.pdf,106,fixed," en total concordancia con el artículo 5 de la Constitución Nacional, que pone e"," en total concordancia con el artículo 5º de la Constitución Nacional, que pone e"
2013-11-27_r19_ESPECIAL.pdf,106,fixed,"ido con el gobierno federal –artículos 4, 9","ido con el gobierno federal –artículos 4º, 9"
2013-11-27_r19_ESPECIAL.pdf,106,fixed,", 9, 10, 11, 12, 17 y 75, incisos 1, 2 , 3,",", 9º, 10, 11, 12, 17 y 75, incisos 1, 2 , 3,"
2013-11-27_r19_ESPECIAL.pdf,130,fixed,erechos Humanos interpreta el artículo 4 del Pacto de San José de Costa Rica exp,erechos Humanos interpreta el artículo 4º del Pacto de San José de Costa Rica exp
2013-11-27_r19_ESPECIAL.pdf,130,fixed,"l término concepción.  Leo el artículo 4 del Pacto, que tiene estatus constituci","l término concepción.  Leo el artículo 4º del Pacto, que tiene estatus constituci"
2013-11-27_r19_ESPECIAL.pdf,130,fixed," San José de Costa Rica en su artículo 4, ya incorporado.  Avanzaré más, aunque "," San José de Costa Rica en su artículo 4º, ya incorporado.  Avanzaré más, aunque "
2013-11-27_r19_ESPECIAL.pdf,140,fixed,anción en la otra Cámara.  El artículo 7 es injustificable al eximir al Estado d,anción en la otra Cámara.  El artículo 7º es injustificable al eximir al Estado d
2013-11-27_r19_ESPECIAL.pdf,141,fixed," pueblos indígenas, y de los artículos 6 y 14 del convenio 169 de la OIT, acerca"," pueblos indígenas, y de los artículos 6º y 14 del convenio 169 de la OIT, acerca"
2013-11-27_r19_ESPECIAL.pdf,143,fixed," las eliminan. Porque acá, el artículo 1 de la ley –no sé cómo habrá salido en l"," las eliminan. Porque acá, el artículo 1º de la ley –no sé cómo habrá salido en l"
2013-11-27_r19_ESPECIAL.pdf,144,fixed,nes que tienen que ver con el artículo 6. El Estado no debe responder aun en for,nes que tienen que ver con el artículo 6º. El Estado no debe responder aun en for
2013-11-27_r19_ESPECIAL.pdf,145,fixed," un artículo –creo que era el artículo 1– , respecto a que en la interpretación "," un artículo –creo que era el artículo 1º– , respecto a que en la interpretación "
2013-11-27_r19_ESPECIAL.pdf,155,fixed,sión tiene diez artículos. El artículo 1 plantea la aprobación del Código en su ,sión tiene diez artículos. El artículo 1º plantea la aprobación del Código en su 
2013-11-27_r19_ESPECIAL.pdf,16,fixed,La Cámara resuelve: “1) Declarar la validez de la elección de ,La Cámara resuelve: “1º) Declarar la validez de la elección de 
2013-11-27_r19_ESPECIAL.pdf,16,fixed,es realizada el 27 de octubre de 2013; 2) Proclamar como senadores nacionales po,es realizada el 27 de octubre de 2013; 2º) Proclamar como senadores nacionales po
2013-11-27_r19_ESPECIAL.pdf,165,fixed,: agregar un nuevo capítulo luego del 3 y un nuevo artículo luego del artículo ,: agregar un nuevo capítulo luego del 3º y un nuevo artículo luego del artículo 
2013-11-27_r19_ESPECIAL.pdf,2,fixed, Civil y Comercial de la Nación. (O.D. N 892/13 y anexos.) 5. Incorporación y ju, Civil y Comercial de la Nación. (O.D. Nº 892/13 y anexos.) 5. Incorporación y ju
2013-11-27_r19_ESPECIAL.pdf,2,fixed,s Civil y Comercial de la Nación (O.D. N 892/13 y anexos.) (Continuación.) 7. Ap,s Civil y Comercial de la Nación (O.D. Nº 892/13 y anexos.) (Continuación.) 7. Ap
2013-11-27_r19_ESPECIAL.pdf,26,fixed,"se impone el Código Civil a partir del 1 de enero de 1871, paradójicamente un añ","se impone el Código Civil a partir del 1º de enero de 1871, paradójicamente un añ"
2013-11-27_r19_ESPECIAL.pdf,26,fixed,s cotejos. Acabamos de conmemorar el 150 aniversario de la muerte de Ángel Vicen,s cotejos. Acabamos de conmemorar el 150º aniversario de la muerte de Ángel Vicen
2013-11-27_r19_ESPECIAL.pdf,27,fixed," a llevarse a la práctica a partir del 1 de enero de 1871, hablaba específicamen"," a llevarse a la práctica a partir del 1º de enero de 1871, hablaba específicamen"
2013-11-27_r19_ESPECIAL.pdf,39,fixed,uciones que se expresan en el artículo 4. Todo autor o inventor... El capital de,uciones que se expresan en el artículo 4º. Todo autor o inventor... El capital de
2013-11-27_r19_ESPECIAL.pdf,42,fixed,Tenemos discrepancias en los artículos 1 y 2,Tenemos discrepancias en los artículos 1º y 2
2013-11-27_r19_ESPECIAL.pdf,42,fixed, y 2. Este es el famoso diálogo de las fuent, y 2º. Este es el famoso diálogo de las fuent
2013-11-27_r19_ESPECIAL.pdf,42,fixed,o a presentar el Código. Los artículos 1 y 2,o a presentar el Código. Los artículos 1º y 2
2013-11-27_r19_ESPECIAL.pdf,42,fixed, y 2 son los que establecen cómo se para el , y 2º son los que establecen cómo se para el 
2013-11-27_r19_ESPECIAL.pdf,42,fixed,hablar mucho de esto hoy.  El artículo 4: persona jurídica con participación del,hablar mucho de esto hoy.  El artículo 4º: persona jurídica con participación del
2013-11-27_r19_ESPECIAL.pdf,46,fixed, lo que estamos aprobando. El artículo 1 habla de las fuentes del derecho. Quier, lo que estamos aprobando. El artículo 1º habla de las fuentes del derecho. Quier
2013-11-27_r19_ESPECIAL.pdf,50,fixed,"tica, en 1986 incorporamos al artículo 5 de la Constitución provincial un texto ","tica, en 1986 incorporamos al artículo 5º de la Constitución provincial un texto "
2013-11-27_r19_ESPECIAL.pdf,85,fixed,"n falaz, mentirosa, porque el artículo 1 del proyecto que tratará o está tratand","n falaz, mentirosa, porque el artículo 1º del proyecto que tratará o está tratand"
2013-11-27_r19_ESPECIAL.pdf,86,fixed,"estrictivas. En efecto, en su artículo 3 sólo se podrá demandar civilmente al Es","estrictivas. En efecto, en su artículo 3º sólo se podrá demandar civilmente al Es"
2013-11-27_r19_ESPECIAL.pdf,87,fixed, en línea con relación a los artículos 4 y 9, en línea con relación a los artículos 4º y 9
2013-11-27_r19_ESPECIAL.pdf,87,fixed, y 9 de la ley de responsabilidad del Estado, y 9º de la ley de responsabilidad del Estado
2014-05-28_r09_ORDINARIA.pdf,123,fixed," de la Villa de Merlo, San Luis. (O.D. N 116/14.) "," de la Villa de Merlo, San Luis. (O.D. Nº 116/14.) "
2014-07-02_r10_ORDINARIA.pdf,10,fixed,"al, Leandro Nicéforo Alem, sucedida el 1 de julio de 1896 en la ciudad de Buenos","al, Leandro Nicéforo Alem, sucedida el 1º de julio de 1896 en la ciudad de Buenos"
2014-07-02_r10_ORDINARIA.pdf,101,fixed,"emos nuestra disidencia en el artículo 3. Es más, vamos a plantear el cambio que","emos nuestra disidencia en el artículo 3º. Es más, vamos a plantear el cambio que"
2014-07-02_r10_ORDINARIA.pdf,101,fixed, proyecto. Hay dos partes del artículo 3 en las que nos parece que hay una deleg, proyecto. Hay dos partes del artículo 3º en las que nos parece que hay una deleg
2014-07-02_r10_ORDINARIA.pdf,101,fixed,por lo cual no acompañamos el artículo 3 –si lo cambian podríamos llegar a acomp,por lo cual no acompañamos el artículo 3º –si lo cambian podríamos llegar a acomp
2014-07-02_r10_ORDINARIA.pdf,101,fixed,"a a quedar de esta manera. El artículo 3 va a decir: ""Para acceder a dichas pres","a a quedar de esta manera. El artículo 3º va a decir: ""Para acceder a dichas pres"
2014-07-02_r10_ORDINARIA.pdf,101,fixed," regularización de deuda”. El artículo 7 va a decir: ""La fecha inicial de pago d"," regularización de deuda”. El artículo 7º va a decir: ""La fecha inicial de pago d"
2014-07-02_r10_ORDINARIA.pdf,101,fixed,via abonada establecida en el artículo 3”. Y el artículo 8,via abonada establecida en el artículo 3º”. Y el artículo 8
2014-07-02_r10_ORDINARIA.pdf,101,fixed,"”. Y el artículo 8 va a decir: ""A los fines de la presente","”. Y el artículo 8º va a decir: ""A los fines de la presente"
2014-07-02_r10_ORDINARIA.pdf,101,fixed,"evia a la que hace alusión el artículo 3, el monto de la siguiente será detraído","evia a la que hace alusión el artículo 3º, el monto de la siguiente será detraído"
2014-07-02_r10_ORDINARIA.pdf,105,fixed," la modificación de parte del artículo 3, que es importante, pero nosotros había"," la modificación de parte del artículo 3º, que es importante, pero nosotros había"
2014-07-02_r10_ORDINARIA.pdf,107,fixed, de la Confraternidad Antártica. (O.D. N 241/14.) Capital Nacional del Chocolate, de la Confraternidad Antártica. (O.D. Nº 241/14.) Capital Nacional del Chocolate
2014-07-02_r10_ORDINARIA.pdf,107,fixed," Carlos de Bariloche, Río Negro. (O.D. N 238/14.) Capital Nacional de la Mujer a"," Carlos de Bariloche, Río Negro. (O.D. Nº 238/14.) Capital Nacional de la Mujer a"
