session,source_file,find_it_by,page,turn_opens_on_page,which_occurrence,parser_says_speaker,opening_words,printed_just_before,correct? (y/n),if_wrong_who_spoke,my_reading,agree,human_checked_at
2017-05-31_r07,2017-05-31_r07_ORDINARIA.pdf,page 61,61.0,61.0,,Sr. Presidente (Pinedo),Corresponde autorizar las inserciones.,"la integralidad de la gratuidad, habla justamente de la ampliación de derechos en esta época.",y,,Sr. Presidente (Pinedo),True,2026-09-24T15:19:33.780Z
2018-04-18_r03,2018-04-18_r03_ORDINARIA.pdf,page 65,65.0,65.0,,Sra. Presidente,Tiene ahora la palabra la senadora Fernández de Kirchner.,Así que vamos a votar el proyecto con las modificaciones propuestas por el senador Pais.,y,,Sra. Presidente,True,2026-09-24T15:19:37.368Z
2019-07-17_r07,2019-07-17_r07_ORDINARIA.pdf,page 82,82.0,82.0,,Sr. Presidente (Pinedo),"Se incorpora un artículo 5°, que va a leer el señor secretario.",- El resultado de la votación surge del Acta N° 3.,y,,Sr. Presidente (Pinedo),True,2026-09-24T15:19:41.460Z
2020-10-02_r15,02-10-2020_ESPECIAL.pdf,page 74,74.0,74.0,2 of 2,Sr. Presidente (Closs),"Sí, lo escucho. Adelante.","No puedo iniciar el video presidente. ¿Me escucha, presidente?",y,,Sr. Presidente (Closs),True,2026-09-24T15:19:44.165Z
2021-06-24_r09,24-06-2021_ESPECIAL.pdf,page 57,57.0,57.0,,Sr. Secretario (Fuentes),Fernández Sagasti: afirmativo. Fiad: afirmativo. Abstención en el artículo 7°. Fiad: afirmativo y abstención en el artículo 7°. García Larraburu: afirmativo. Giacoppo: afirmativo y abstención en el 7°. Nora Giménez:,–Luego de unos instantes:,y,,Sr. Secretario (Fuentes),True,2026-09-24T15:19:47.756Z
2022-03-17_r02,17-03-2022_ESPECIAL.pdf,page 36,36.0,36.0,,Sra. Presidenta (Ledesma Abdala),"Silencio, por favor. Disculpe, senador…",–Murmullos en el recinto.,y,,Sra. Presidenta (Ledesma Abdala),True,2026-09-24T15:19:51.192Z
2023-12-07_r07,07-12-2023_ESPECIAL.pdf,page 12,12.0,12.0,,Sra. Senadora electa Silva,"¡Sí, Juro!","Nación Argentina, y obrar en todo de conformidad con lo que prescribe la Constitución Nacional?",y,,Sra. Senadora electa Silva,True,2026-09-24T15:19:56.489Z
2024-09-26_r10,26-09-2024_ORDINARIA.pdf,page 34,34.0,34.0,,Sr. Presidente (Abdala),A continuación pasamos a tratar el proyecto de ley relativo a instituir el Día Nacional por la Memoria de los 44 Héroes del submarino ARA “San Juan”. Corresponde la consideración,(O.D. Nº 145/24.),y,,Sr. Presidente (Abdala),True,2026-09-24T15:20:00.757Z
2025-07-10_r06,2025-07-10_r06_ORDINARIA.pdf,page 48,48.0,48.0,6 of 182,Sra. Corpacci,Afirmativo.,Afirmativo. Lucía Corpacci.,y,,Sra. Corpacci,True,2026-09-24T15:20:07.149Z
2026-02-11_r13,2026-02-11_r13_ESPECIAL_EXTRAORDINARIA.pdf,page 184,184.0,184.0,,Sr. Recalde,"Continúo, pero insisto en que no resuelve este problema. Va a haber presentaciones judiciales de uno y de otro lado preguntando si se aplica o no a los contratos vigentes.","Gracias, senadora Bullrich. Continúa con la palabra el senador Recalde.",y,,Sr. Recalde,True,2026-09-24T15:20:10.051Z
