session,seq,type,speaker,pdf,pages,as_recorded,as_the_page_reads
2006-07-06_r15,138,speech,Sra. Fernández de Kirchner,2006-07-06_r15_ORDINARIA.pdf,90 91 92 93 94 95 96,E l s i s t e m a,Elsistema
2006-07-12_r16,204,heading,,2006-07-12_r16_ORDINARIA.pdf,108,V o t a c i ó n N o m i n a l,VotaciónNominal
2006-07-12_r16,224,heading,,2006-07-12_r16_ORDINARIA.pdf,109,V o t a c i ó n N o m i n a l,VotaciónNominal
2006-07-12_r16,232,heading,,2006-07-12_r16_ORDINARIA.pdf,110,V o t a c i ó n N o m i n a l,VotaciónNominal
2006-07-12_r16,240,heading,,2006-07-12_r16_ORDINARIA.pdf,111,V o t a c i ó n N o m i n a l,VotaciónNominal
2006-10-11_r25,280,heading,,2006-10-11_r25_ORDINARIA.pdf,65,V o t a c i ó n N o m i n a l,VotaciónNominal
2006-10-11_r25,303,heading,,2006-10-11_r25_ORDINARIA.pdf,66,V o t a c i ó n N o m i n a l,VotaciónNominal
2006-10-11_r25,311,heading,,2006-10-11_r25_ORDINARIA.pdf,67,V o t a c i ó n N o m i n a l,VotaciónNominal
2006-10-11_r25,319,heading,,2006-10-11_r25_ORDINARIA.pdf,68,V o t a c i ó n N o m i n a l,VotaciónNominal
2006-11-08_r27,90,speech,Sr. Pichetto,2006-11-08_r27_ESPECIAL.pdf,39 40 41 42 43 44 45,N o s o t r o s h a b í a m o s,Nosotroshabíamos
2006-11-29_r29,589,heading,,2006-11-29_r29_ORDINARIA.pdf,141,V o t a c i ó n N o m i n a l,VotaciónNominal
2006-11-29_r29,600,heading,,2006-11-29_r29_ORDINARIA.pdf,142,V o t a c i ó n N o m i n a l,VotaciónNominal
2007-03-28_r03,311,heading,,2007-03-28_r03_ORDINARIA.pdf,46,D e c r e t o,Decreto
2007-04-11_r04,177,heading,,2007-04-11_r04_ORDINARIA.pdf,37,V o t a c i ó n N o m i n a l,VotaciónNominal
2007-04-11_r04,187,heading,,2007-04-11_r04_ORDINARIA.pdf,38,V o t a c i ó n N o m i n a l,VotaciónNominal
2007-04-11_r04,196,heading,,2007-04-11_r04_ORDINARIA.pdf,39,V o t a c i ó n N o m i n a l,VotaciónNominal
2007-04-11_r04,205,heading,,2007-04-11_r04_ORDINARIA.pdf,40,V o t a c i ó n N o m i n a l,VotaciónNominal
2007-05-02_r06,165,heading,,2007-05-02_r06_ORDINARIA.pdf,19,V o t a c i ó n N o m i n a l,VotaciónNominal
2007-05-02_r06,184,heading,,2007-05-02_r06_ORDINARIA.pdf,20,V o t a c i ó n N o m i n a l,VotaciónNominal
2007-06-06_r08,273,heading,,2007-06-06_r08_ORDINARIA.pdf,55,V o t a c i ó n N o m i n a l,VotaciónNominal
2007-06-06_r08,282,heading,,2007-06-06_r08_ORDINARIA.pdf,56,V o t a c i ó n N o m i n a l,VotaciónNominal
2007-06-06_r08,290,heading,,2007-06-06_r08_ORDINARIA.pdf,57,V o t a c i ó n N o m i n a l,VotaciónNominal
2007-06-06_r08,299,heading,,2007-06-06_r08_ORDINARIA.pdf,58,V o t a c i ó n N o m i n a l,VotaciónNominal
2007-06-27_r09,192,heading,,2007-06-27_r09_ORDINARIA.pdf,28,V o t a c i ó n N o m i n a l,VotaciónNominal
2007-06-27_r09,201,heading,,2007-06-27_r09_ORDINARIA.pdf,29,V o t a c i ó n N o m i n a l,VotaciónNominal
2007-06-27_r09,209,heading,,2007-06-27_r09_ORDINARIA.pdf,30,V o t a c i ó n N o m i n a l,VotaciónNominal
2007-06-27_r09,218,heading,,2007-06-27_r09_ORDINARIA.pdf,31,V o t a c i ó n N o m i n a l,VotaciónNominal
2007-08-22_r12,127,speech,Sr. Guinle,2007-08-22_r12_ORDINARIA.pdf,18,H e m o s a t e n d i d o l o s,Hemosatendidolos
2007-11-07_r13,252,furniture,,2007-11-07_r13_ORDINARIA.pdf,38,V o t a c i ó n N o m i n a l,VotaciónNominal
2007-11-07_r13,255,furniture,,2007-11-07_r13_ORDINARIA.pdf,38,D I C T A M E N E N L O S P R O Y E C T O S D E L E Y,DICTAMENENLOSPROYECTOSDELEY
2007-11-07_r13,255,furniture,,2007-11-07_r13_ORDINARIA.pdf,38,N D O L A C O N V E N C I Ó N S O B,NDOLACONVENCIÓNSOB
2007-11-07_r13,255,furniture,,2007-11-07_r13_ORDINARIA.pdf,38,L O S D E,LOSDE
2007-11-07_r13,255,furniture,,2007-11-07_r13_ORDINARIA.pdf,38,C H O S D E L A S P E R S O,CHOSDELASPERSO
2007-11-07_r13,255,furniture,,2007-11-07_r13_ORDINARIA.pdf,38,S C O N D I S C A P A C I D A D Y S U P R O T O C O L O F A C U L T A T I V O,SCONDISCAPACIDADYSUPROTOCOLOFACULTATIVO
2007-11-07_r13,255,furniture,,2007-11-07_r13_ORDINARIA.pdf,38,B A D O S M E D I A N T E R E,BADOSMEDIANTERE
2007-11-07_r13,255,furniture,,2007-11-07_r13_ORDINARIA.pdf,38,L U C I Ó N D E L A S N A C I O N E S U,LUCIÓNDELASNACIONESU
2007-11-07_r13,255,furniture,,2007-11-07_r13_ORDINARIA.pdf,38,D A S E L,DASEL
2007-11-07_r13,255,furniture,,2007-11-07_r13_ORDINARIA.pdf,38,D E D I C I E M B,DEDICIEMB
2007-11-07_r13,263,furniture,,2007-11-07_r13_ORDINARIA.pdf,39,V o t a c i ó n N o m i n a l,VotaciónNominal
2007-11-07_r13,266,furniture,,2007-11-07_r13_ORDINARIA.pdf,39,D I C T A M E N E N L O S P R O Y E C T O S D E L E Y,DICTAMENENLOSPROYECTOSDELEY
2007-11-07_r13,266,furniture,,2007-11-07_r13_ORDINARIA.pdf,39,N D O L A C O N V E N C I Ó N S O B,NDOLACONVENCIÓNSOB
2007-11-07_r13,266,furniture,,2007-11-07_r13_ORDINARIA.pdf,39,L O S D E,LOSDE
2007-11-07_r13,266,furniture,,2007-11-07_r13_ORDINARIA.pdf,39,C H O S D E L A S P E R S O,CHOSDELASPERSO
2007-11-07_r13,266,furniture,,2007-11-07_r13_ORDINARIA.pdf,39,S C O N D I S C A P A C I D A D Y S U P R O T O C O L O F A C U L T A T I V O,SCONDISCAPACIDADYSUPROTOCOLOFACULTATIVO
2007-11-07_r13,266,furniture,,2007-11-07_r13_ORDINARIA.pdf,39,B A D O S M E D I A N T E R E,BADOSMEDIANTERE
2007-11-07_r13,266,furniture,,2007-11-07_r13_ORDINARIA.pdf,39,L U C I Ó N D E L A S N A C I O N E S U,LUCIÓNDELASNACIONESU
2007-11-07_r13,266,furniture,,2007-11-07_r13_ORDINARIA.pdf,39,D A S E L,DASEL
2007-11-07_r13,266,furniture,,2007-11-07_r13_ORDINARIA.pdf,39,D E D I C I E M B,DEDICIEMB
2007-12-12_r20,520,heading,,2007-12-12_r20_ORDINARIA.pdf,106,V o t a c i ó n N o m i n a l,VotaciónNominal
2007-12-12_r20,547,heading,,2007-12-12_r20_ORDINARIA.pdf,107,V o t a c i ó n N o m i n a l,VotaciónNominal
2007-12-12_r20,574,heading,,2007-12-12_r20_ORDINARIA.pdf,110,V o t a c i ó n N o m i n a l,VotaciónNominal
2007-12-12_r20,583,heading,,2007-12-12_r20_ORDINARIA.pdf,111,V o t a c i ó n N o m i n a l,VotaciónNominal
2008-04-16_r05,268,heading,,2008-04-16_r05_ORDINARIA.pdf,38,C o n m e m o r a c i ó n d e l D í a,ConmemoracióndelDía
2008-05-14_r07,268,heading,,2008-05-14_r07_ORDINARIA.pdf,47,V o t a c i ó n N o m i n a l,VotaciónNominal
2008-05-14_r07,277,heading,,2008-05-14_r07_ORDINARIA.pdf,48,V o t a c i ó n N o m i n a l,VotaciónNominal
2008-05-14_r07,285,heading,,2008-05-14_r07_ORDINARIA.pdf,49,V o t a c i ó n N o m i n a l,VotaciónNominal
