session,seq,type,speaker,pages,change,before,after
2006-07-12_r16,240,heading,,111,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2006-10-11_r25,280,heading,,65,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2006-10-11_r25,303,heading,,66,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2006-10-11_r25,311,heading,,67,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2006-10-11_r25,319,heading,,68,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2006-11-08_r27,90,speech,Sr. Pichetto,39 40 41 42 43 44 45,"same text, different spacing", Aprovecha de paso la oportunidad: inaugura viviendas y entrega llaves; pero la realidad es que hacía mucho tiempo que en la Argentina no había un plan de viviendas como el que puso en marcha el gobierno nacional. Se puso en marcha un plan energético nacional. Hace seis meses nos auguraban el peor d, Aprovecha de paso la oportunidad: inaugura viviendas y entrega llaves; pero la realidad es que hacía mucho tiempo que en la Argentina no había un plan de viviendas como el que puso en marcha el gobierno nacional. Se puso en marcha un plan energético nacional. Hace seis meses nos auguraban el peor d
2006-11-29_r29,589,heading,,141,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2006-11-29_r29,600,heading,,142,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2007-03-28_r03,311,heading,,46,"same text, different spacing",D e c r e t o PEN TEMA ,Decreto PEN TEMA 
2007-04-11_r04,177,heading,,37,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2007-04-11_r04,187,heading,,38,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2007-04-11_r04,196,heading,,39,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2007-04-11_r04,205,heading,,40,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2007-05-02_r06,165,heading,,19,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2007-05-02_r06,184,heading,,20,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2007-06-06_r08,273,heading,,55,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2007-06-06_r08,282,heading,,56,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2007-06-06_r08,290,heading,,57,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2007-06-06_r08,299,heading,,58,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2007-06-27_r09,192,heading,,28,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2007-06-27_r09,201,heading,,29,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2007-06-27_r09,209,heading,,30,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2007-06-27_r09,218,heading,,31,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2007-08-22_r12,127,speech,Sr. Guinle,18,"same text, different spacing","En realidad, hemos atendido los requerimientos y planteos de cada uno de los señores senadores. De hecho, hemos dado al marco de las audiencias la celeridad necesaria  para cumplir con los plazos, tanto que esta audiencia pública se realizó el pasado miércoles y los despachos se firmaron una semana ","En realidad, hemos atendido los requerimientos y planteos de cada uno de los señores senadores. De hecho, hemos dado al marco de las audiencias la celeridad necesaria  para cumplir con los plazos, tanto que esta audiencia pública se realizó el pasado miércoles y los despachos se firmaron una semana "
2007-11-07_r13,252,furniture,,38,"same text, different spacing",V o t a c i ó n N o m i n a l  ,Votación Nominal  
2007-11-07_r13,255,furniture,,38,"same text, different spacing","D I C T A M E N E N L O S P R O Y E C T O S D E L E Y RA T I F I CA N D O L A C O N V E N C I Ó N S O B RE L O S D E RE C H O S D E L A S P E R S O NA S C O N D I S C A P A C I D A D Y S U P R O T O C O L O F A C U L T A T I V O , A P RO B A D O S M E D I A N T E R E SO L U C I Ó N D E L A S N A C I","DICTAMEN EN LOS PROYECTOS DE LEY RATIFICANDO LA CONVENCIÓN SOBRE LOS DERECHOS DE LAS PERSONAS CON DISCAPACIDAD Y SU PROTOCOLO FACULTATIVO, APROBADOS MEDIANTE RESOLUCIÓN DE LAS NACIONES U NIDAS EL 13 DE DICIEMBRE DE 2006. "
2007-11-07_r13,263,furniture,,39,"same text, different spacing",V o t a c i ó n N o m i n a l  ,Votación Nominal  
2007-11-07_r13,266,furniture,,39,"same text, different spacing","D I C T A M E N E N L O S P R O Y E C T O S D E L E Y RA T I F I CA N D O L A C O N V E N C I Ó N S O B RE L O S D E RE C H O S D E L A S P E R S O NA S C O N D I S C A P A C I D A D Y S U P R O T O C O L O F A C U L T A T I V O , A P RO B A D O S M E D I A N T E R E SO L U C I Ó N D E L A S N A C I","DICTAMEN EN LOS PROYECTOS DE LEY RATIFICANDO LA CONVENCIÓN SOBRE LOS DERECHOS DE LAS PERSONAS CON DISCAPACIDAD Y SU PROTOCOLO FACULTATIVO, APROBADOS MEDIANTE RESOLUCIÓN DE LAS NACIONES U NIDAS EL 13 DE DICIEMBRE DE 2006. "
2007-12-12_r20,520,heading,,106,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2007-12-12_r20,547,heading,,107,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2007-12-12_r20,574,heading,,110,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2007-12-12_r20,583,heading,,111,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2008-04-16_r05,268,heading,,38,"same text, different spacing",S. 888/08: 188° aniversario de la autonomía de la provincia de Santiago del Estero. S. 768/08: Aniversario de la fundación de la Ciudad de Salta. S. 761/08: Aniversario de la fundación del Instituto Antártico Argentino. S. 759/08: Día de las Américas. S. 848/08: Ciclo de capacitación laboral en la c,S. 888/08: 188° aniversario de la autonomía de la provincia de Santiago del Estero. S. 768/08: Aniversario de la fundación de la Ciudad de Salta. S. 761/08: Aniversario de la fundación del Instituto Antártico Argentino. S. 759/08: Día de las Américas. S. 848/08: Ciclo de capacitación laboral en la c
2008-05-14_r07,268,heading,,47,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2008-05-14_r07,277,heading,,48,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2008-05-14_r07,285,heading,,49,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2008-05-14_r07,294,heading,,50,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2008-07-16_r11,310,speech,Sra. Estenssoro,149 150 151 152,"same text, different spacing","  Como senadora por la Ciudad de Buenos Aires, en nombre del senador Samuel Cabanchik, que también representa a ese distrito, y en representación de la Coalición Cívica, que es la fuerza política principal de esta Ciudad, quiero expresar nuestra solidaridad con el reclamo del campo y con las provinc","  Como senadora por la Ciudad de Buenos Aires, en nombre del senador Samuel Cabanchik, que también representa a ese distrito, y en representación de la Coalición Cívica, que es la fuerza política principal de esta Ciudad, quiero expresar nuestra solidaridad con el reclamo del campo y con las provinc"
2008-07-16_r11,467,heading,,199,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2008-07-16_r11,476,heading,,200,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2008-07-16_r11,484,heading,,201,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2008-07-16_r11,499,heading,,202,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2008-09-03_r14,358,heading,,144,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2008-09-03_r14,374,heading,,145,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2008-09-24_r16,154,heading,,15,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2008-09-24_r16,163,heading,,16,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2008-12-18_r24,31,speech,Sr. Ríos,6 7 8 9 10 11,"same text, different spacing"," Incluye impuestos de toda naturaleza así como los aportes a la Seguridad Social, pero no incluye los aportes a los servicios de salud: es decir, a las obras sociales. La extensión del plazo para esta regularización es de seis meses a partir de publicación de la ley. Para aquellos que pretendan acce"," Incluye impuestos de toda naturaleza así como los aportes a la Seguridad Social, pero no incluye los aportes a los servicios de salud: es decir, a las obras sociales. La extensión del plazo para esta regularización es de seis meses a partir de publicación de la ley. Para aquellos que pretendan acce"
2009-03-01_r00,72,speech,Sra. Presidenta de la Nación,14,"same text, different spacing","T e n e r c a l i d a d institucional no significa que los opositores voten o piensen igual que el gobierno. Significa que se apoyen aquellas cosas que evidentemente mejoran la situación de lo que se está discutiendo; y luego, en las elecciones, cada uno de los argentinos podrá elegir quién, a su ju","Tener calidad institucional no significa que los opositores voten o piensen igual que el gobierno. Significa que se apoyen aquellas cosas que evidentemente mejoran la situación de lo que se está discutiendo; y luego, en las elecciones, cada uno de los argentinos podrá elegir quién, a su juicio, va a"
2009-03-04_r02,557,furniture,,66,new row,,(volver)
2009-03-04_r02,558,furniture,,66,new row,,                   Senado de la Nación 
2009-03-04_r02,559,heading,,66,new row,,V otación Nominal 
2009-10-21_r14,554,heading,,93,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2009-10-21_r14,561,heading,,93,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2009-11-11_r16,325,speech,Sra. Negre de Alonso,97,"same text, different spacing"," Señor presidente: por una parte, resignamos recursos coparticipables; resignamos recursos que constitucionalmente corresponde que se les mande a las provincias, y por otra parte, damos amplias facultades para que esos recursos, que son de las provincias, sean usados por el gobierno nacional y, adem"," Señor presidente: por una parte, resignamos recursos coparticipables; resignamos recursos que constitucionalmente corresponde que se les mande a las provincias, y por otra parte, damos amplias facultades para que esos recursos, que son de las provincias, sean usados por el gobierno nacional y, adem"
2009-11-11_r16,360,speech,Sr. Morales,120 121 122 123 124 125 126,"same text, different spacing","Señor presidente: voy a tomar un poco la línea de algunas cuestiones que encaró el miembro informante, senador Ríos, con relación a algunos datos que siempre confrontamos anualmente cuando se debate el presupuesto. En verdad, debo decir que él hacía un análisis de algunas apreciaciones que tuvimos c","Señor presidente: voy a tomar un poco la línea de algunas cuestiones que encaró el miembro informante, senador Ríos, con relación a algunos datos que siempre confrontamos anualmente cuando se debate el presupuesto. En verdad, debo decir que él hacía un análisis de algunas apreciaciones que tuvimos c"
2009-11-18_r17,778,heading,,123,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2009-11-18_r17,780,furniture,,123,"same text, different spacing","O R D E N D E L D Í A 3 3 1 S - 4 1 8 8 / 0 8 D I C T A M E N E N E L PR O Y E C T O D E L E Y T R A N S FI R I E N D O A T Í T U L O G R A T U I T O A L A E N T I D A D A G R U PA C I Ó N 9 D E J U L I O D E 1 9 5 6 Y B I B L I O T E C A PO PU L A R R O D O L F O D E D I E G O , D E L A CI U D A D ","ORDEN DEL DÍA 331 S-4188/08 DICTAMEN EN EL PROYECTO DE LEY TRANSFIRIENDO A TÍTULO GRATUITO A LA ENTIDAD AGRUPACIÓN 9 DE JULIO DE 1956 Y BIBLIOTECA PO PULAR RODOLFO DE DIEGO, DE LA CI U D A D D E SANT A ROS A , L A PA M PA, EL D OMINIO D E UN IN MUEBL E PRO PI EDA D DEL ES TAD O NACIONAL UBICADO EN L"
2009-11-18_r17,788,heading,,124,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2009-11-18_r17,790,furniture,,124,"same text, different spacing",O R D E N D E L D Í A 3 3 1 S - 4 1 8 8 / 0 8 O R D E N D E L D Í A 4 1 3 ( S - 1 2 1 6 / 0 8 )  O R D E N D E L D Í A 3 3 2 ( S - 3 7 5 3 / 0 8 )  O R D E N D E L D Í A 4 1 4 ( S - 1 5 2 1 / 0 9 )  O R D E N D E L D Í A 3 3 3 ( S - 3 5 8 5 / 0 8 )  O R D E N D E L D Í A 5 8 0 ( ,ORDEN DEL DÍA 331 S-4188/08 ORDEN DEL DÍA 413 (S-1216/08)  ORDEN DEL DÍA 332 (S-3753/08)  ORDEN DEL DÍA 414 (S-1521/09)  ORDEN DEL DÍA 333 (S-3585/08)  ORDEN DEL DÍA 580 ( 
2010-04-14_r06,736,furniture,,163,new row,, volver
2010-04-14_r06,737,furniture,,163,new row,,Senado de la Nación 
2010-04-14_r06,738,heading,,163,new row,,Votación Nominal 
2010-04-14_r06,745,furniture,,164,new row,, volver
2010-04-14_r06,746,furniture,,164,new row,,Senado de la Nación 
2010-04-14_r06,747,heading,,164,new row,,Votación Nominal 
2010-06-30_r13,411,heading,,59,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2010-06-30_r13,428,heading,,62,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2010-06-30_r13,437,heading,,63,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2010-07-14_r14,521,heading,,171,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2010-07-14_r14,538,heading,,172,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2010-07-14_r14,546,heading,,173,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2010-07-14_r14,557,heading,,174,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2010-08-11_r15,545,furniture,,82,"same text, different spacing",Director General del Cuerpo de Taquígrafos   ,Director General del Cuerpo de Taquígrafos
2010-08-11_r15,546,furniture,,83,new row,,(volver)  
2010-08-11_r15,547,furniture,,83,new row,,Senado de la Nación 
2010-08-11_r15,548,heading,,83,new row,,Votación Nominal 
2010-08-11_r15,642,furniture,,97,new row,,(volver)
2010-08-11_r15,643,furniture,,97,new row,,Senado de la Nación 
2010-08-11_r15,644,heading,,97,new row,,Votación Nominal 
2010-12-22_r25,107,heading,,23,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2010-12-22_r25,115,heading,,24,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
